0.001 133.7
0.0015 163.8
0.002 189.1
0.0025 211.4
0.003 231.6
0.004 267.5
0.005 299.0
0.006 327.6
0.007 353.8
0.008 378.2
0.009 401.2
0.01 422.9
0.0125 466.0
0.015 503.6
0.0175 537.2
0.02 567.3
0.0225 594.6
0.025 619.5
0.0275 642.1
0.03 662.8
0.035 698.9
0.04 729.0
0.045 753.8
0.05 774.0
0.055 790.1
0.06 802.6
0.065 811.9
0.07 818.3
0.075 822.3
0.08 824.1
0.085 823.9
0.09 822.2
0.095 819.0
0.1 814.5
0.125 780.1
0.15 736.0
0.175 695.9
0.2 660.4
0.225 628.6
0.25 599.9
0.275 573.7
0.3 549.7
0.35 507.5
0.4 471.4
0.45 440.1
0.5 412.8
0.55 388.8
0.6 367.6
0.65 348.9
0.7 332.2
0.75 317.2
0.8 303.7
0.85 291.4
0.9 280.3
0.95 270.0
1.0 260.6
1.25 222.8
1.5 195.5
1.75 174.8
2.0 158.5
2.25 145.3
2.5 134.3
2.75 125.0
3.0 117.1
3.5 104.1
4.0 93.98
4.5 85.8
5.0 79.06
5.5 73.39
6.0 68.54
6.5 64.34
7.0 60.68
7.5 57.44
8.0 54.56
8.5 51.99
9.0 49.66
9.5 47.56
10.0 45.64
12.5 38.13
15.0 32.9
17.5 29.04
20.0 26.05
25.0 21.74
27.5 20.12
30.0 18.75
35.0 16.56
40.0 14.87
45.0 13.53
50.0 12.44
55.0 11.54
60.0 10.78
65.0 10.12
70.0 9.555
75.0 9.059
80.0 8.622
85.0 8.232999999999999
90.0 7.8839999999999995
95.0 7.57
100.0 7.2860000000000005
125.0 6.19
150.0 5.443
175.0 4.901
200.0 4.4910000000000005
225.0 4.169
250.0 3.91
275.0 3.697
300.0 3.5189999999999997
350.0 3.24
400.0 3.031
450.0 2.87
500.0 2.7430000000000003
550.0 2.64
600.0 2.555
650.0 2.485
700.0 2.426
750.0 2.375
800.0 2.333
850.0 2.296
900.0 2.2640000000000002
950.0 2.2359999999999998
1000.0 2.211
1500.0 2.07
2000.0 2.021
2500.0 2.004
3000.0 2.001
4000.0 2.012
5000.0 2.031
6000.0 2.052
7000.0 2.072
8000.0 2.0909999999999997
9000.0 2.109
10000.0 2.126
