1	0	0	3.8343e-08	0	0	8.3815e-07	6.9078e-07
3.3131	0	0	4.7628e-05	0	0	2.1124e-07	2.1123e-07
5.6263	0	0	0.00011231	0	0	7.2308e-08	9.6413e-08
7.9394	0	0	0.0001221	0	0	3.3776e-08	1.5197e-07
10.253	0	0	0.00011816	0	0	2.4866e-07	1.6579e-07
12.566	0	0	0.00010505	0	0	8.5546e-07	0.00053986
14.879	0.00073657	0	7.2534e-05	0	0	1.5623e-06	0.0019799
17.192	0.0016162	0	4.5872e-05	0	0	1.6538e-06	0.0023826
19.505	0.0021766	0	3.5138e-05	0	4.8093e-08	1.3045e-06	0.0022837
21.818	0.003042	0	2.311e-05	0	0.00016652	7.7573e-07	0.002777
24.131	0.0029496	0	2.9774e-05	0	0.00021723	6.4233e-07	0.0026149
26.444	0.0025759	0	0.00012819	0	0.00024369	5.9328e-07	0.0022965
28.758	0.0020359	0	0.00042386	6.66e-07	0.00024906	3.1465e-07	0.0017908
31.071	0.001547	0	0.00078243	3.8479e-06	0.00023397	2.5889e-07	0.0012917
33.384	0.0012789	0	0.0010586	8.7278e-06	0.00024051	2.515e-07	0.00092821
35.697	0.0013227	0	0.0012201	1.7322e-05	0.00025401	3.0556e-07	0.00070407
38.01	0.00146	0	0.0012865	0.00022404	0.00023868	1.3367e-06	0.00057093
40.323	0.001592	3.0961e-08	0.0012689	0.00048464	0.00024771	3.3883e-06	0.00047518
42.636	0.0017182	9.4738e-08	0.0012085	0.00076363	0.00025142	4.5862e-06	0.00041291
44.949	0.0018915	1.9692e-07	0.0011109	0.0010558	0.00024135	6.2516e-06	0.00036178
47.263	0.0022816	2.013e-07	0.00087285	0.00073244	0.00016441	4.2852e-06	0.00059694
49.576	0.0026235	1.8126e-07	0.00080933	0.0009377	0.00015483	4.8018e-06	0.00055545
51.889	0.0031072	2.709e-07	0.00076784	0.0011277	0.0001398	4.8449e-06	0.00052074
54.202	0.0036836	1.6034e-07	0.00071984	0.0010377	0.00012776	3.9207e-06	0.00048085
56.515	0.003964	8.1642e-08	0.00068148	0.0011675	0.00012094	3.8783e-06	0.00045272
58.828	0.0043847	1.8379e-07	0.00064037	0.0012603	0.00011342	2.9659e-06	0.00042365
61.141	0.0047354	4.4753e-07	0.00061046	0.0013387	0.00010833	3.2136e-06	0.00040793
